DesignName,ParticipantID,TrialID,Block,Trial,VV,OC,visualSearchTime,ErrorCount
Preattention,3,130,3,2,Size,High,1334,0
Preattention,3,131,3,3,Size,Medium,945,0
Preattention,3,132,3,3,Size,Medium,742,0
Preattention,3,133,3,3,Size,Medium,895,0
Preattention,3,134,3,3,Size,Medium,1047,0
Preattention,3,135,3,3,Size,Medium,976,0
Preattention,4,136,1,1,Size,Medium,1285,0
Preattention,4,137,1,1,Size,Medium,797,0
Preattention,4,138,1,1,Size,Medium,874,0
Preattention,4,139,1,1,Size,Medium,657,0
Preattention,4,140,1,1,Size,Medium,730,0
Preattention,4,141,1,2,Size,Low,961,0
Preattention,4,142,1,2,Size,Low,741,0
Preattention,4,143,1,2,Size,Low,676,0
Preattention,4,144,1,2,Size,Low,774,0
Preattention,4,145,1,2,Size,Low,999,0
Preattention,4,146,1,3,Size,High,642,0
Preattention,4,147,1,3,Size,High,703,0
Preattention,4,148,1,3,Size,High,880,0
Preattention,4,149,1,3,Size,High,743,0
Preattention,4,150,1,3,Size,High,564,0
Preattention,4,151,2,1,Color,Medium,1052,0
Preattention,4,152,2,1,Color,Medium,719,0
Preattention,4,153,2,1,Color,Medium,691,0
Preattention,4,154,2,1,Color,Medium,772,0
Preattention,4,155,2,1,Color,Medium,709,0
Preattention,4,156,2,2,Color,Low,748,0
Preattention,4,157,2,2,Color,Low,1009,0
Preattention,4,158,2,2,Color,Low,740,0
Preattention,4,159,2,2,Color,Low,681,0
Preattention,4,160,2,2,Color,Low,815,0
Preattention,4,161,2,3,Color,High,813,0
Preattention,4,162,2,3,Color,High,827,0
Preattention,4,163,2,3,Color,High,769,0
Preattention,4,164,2,3,Color,High,735,0
Preattention,4,165,2,3,Color,High,889,0
Preattention,4,166,3,1,ColorSize,Medium,2752,0
Preattention,4,167,3,1,ColorSize,Medium,3018,0
Preattention,4,168,3,1,ColorSize,Medium,1709,0
Preattention,4,169,3,1,ColorSize,Medium,2135,0
Preattention,4,170,3,1,ColorSize,Medium,7160,0
Preattention,4,171,3,2,ColorSize,Low,3024,0
